"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":5493}]","5497","Instructions","instructions","0","5501","0.0-0.0","","",""
"","283226.9999999553","COVIDCONTROL_01","survey-multi-select","1","288762","0.0-1.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años"",""&nbsp;Personas mayores a 60 años"",""&nbsp;Mascota(s)""]}","[0]"
"","239508","COVIDCONTROL_02","survey-multi-choice-vertical","2","528300","0.0-2.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Estoy en cuarentena/distanciamiento social voluntario. Si trabajo y/o estudio, lo hago desde el lugar donde vivo""}",""
"","26301","COVIDCONTROL_03","survey-multi-choice-vertical","3","554615","0.0-3.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}",""
"","20220.100000035018","COVIDCONTROL_04","survey-multi-select","4","574858","0.0-4.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis conocidos""]}","[0]"
"","10136","COVIDCONTROL_05","survey-multi-choice-vertical","5","585011","0.0-5.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","21864","COVIDCONTROL_06","survey-multi-choice-vertical","6","606895","0.0-6.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","11446","COVIDCONTROL_07","survey-multi-choice-vertical","7","618361","0.0-7.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Bajo riesgo""}",""
"","9577","COVIDCONTROL_08","survey-multi-choice-vertical","8","627951","0.0-8.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","5040","COVIDCONTROL_09","survey-multi-choice-vertical","9","633009","0.0-9.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","15671","COVIDCONTROL_10","survey-multi-choice-vertical","10","648699","0.0-10.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","14657","COVIDCONTROL_11","survey-multi-choice-vertical","11","663372","0.0-11.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","14744","COVIDCONTROL_12","survey-multi-choice-vertical","12","678133","0.0-12.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" Perdí mi trabajo de forma permanente, pero obtuve otro""}",""
"","33716.10000001965","COVIDCONTROL_13","html-slider-response-CSCN","13","711872","0.0-13.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""5""}",""
