"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses","question_order"
"[{""page_index"":0,""viewing_time"":5354}]","5357","Instructions","instructions","0","5362","0.0-0.0","","",""
"","9514.400000014575","COVIDCONTROL_01","survey-multi-select","1","14905","0.0-1.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años""]}","[0]"
"","38859","COVIDCONTROL_02","survey-multi-choice-vertical","2","53787","0.0-2.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","10952","COVIDCONTROL_03","survey-multi-choice-vertical","3","64753","0.0-3.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}",""
"","9911.70000002603","COVIDCONTROL_04","survey-multi-select","4","74693","0.0-4.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;No""]}","[0]"
"","9297","COVIDCONTROL_05","survey-multi-choice-vertical","5","84004","0.0-5.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","11570","COVIDCONTROL_06","survey-multi-choice-vertical","6","95592","0.0-6.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","6774","COVIDCONTROL_07","survey-multi-choice-vertical","7","102382","0.0-7.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","10390","COVIDCONTROL_08","survey-multi-choice-vertical","8","112778","0.0-8.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","11074","COVIDCONTROL_09","survey-multi-choice-vertical","9","123860","0.0-9.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","5811","COVIDCONTROL_10","survey-multi-choice-vertical","10","129690","0.0-10.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","31157","COVIDCONTROL_11","survey-multi-choice-vertical","11","160862","0.0-11.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}",""
"","11163","COVIDCONTROL_12","survey-multi-choice-vertical","12","172041","0.0-12.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" No lo sé / Prefiero no responder""}",""
"","10769.400000019232","COVIDCONTROL_13","html-slider-response-CSCN","13","182816","0.0-13.0","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""7""}",""
