"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses","question_order"
"true","fullscreen","0","8689","0.0-0.0","","","","","",""
"","instructions","1","11028","0.0-1.0","[{""page_index"":0,""viewing_time"":2335}]","2337","Instructions","","",""
"","survey-multi-select","2","54830","0.0-2.0","","43783.49999999955","COVIDCONTROL_01","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Hermano/a(s)/otro familiar menor de 60 años"",""&nbsp;Personas mayores a 60 años"",""&nbsp;Mascota(s)""]}","[0]"
"","survey-multi-choice-vertical","3","83999","0.0-3.0","","29157","COVIDCONTROL_02","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), pero no voy a restaurantes, cines, etc""}",""
"","survey-multi-choice-vertical","4","89392","0.0-4.0","","5382","COVIDCONTROL_03","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bastante bueno""}",""
"","survey-multi-select","5","99238","0.0-5.0","","9831.40000000094","COVIDCONTROL_04","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;Dentro de mis conocidos"",""&nbsp;Dentro de mi familia""]}","[0]"
"","survey-multi-choice-vertical","6","105818","0.0-6.0","","6570","COVIDCONTROL_05","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","survey-multi-choice-vertical","7","112839","0.0-7.0","","7008","COVIDCONTROL_06","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Alto riesgo""}",""
"","survey-multi-choice-vertical","8","116911","0.0-8.0","","4061","COVIDCONTROL_07","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","survey-multi-choice-vertical","9","122342","0.0-9.0","","5414","COVIDCONTROL_08","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","survey-multi-choice-vertical","10","131918","0.0-10.0","","9562","COVIDCONTROL_09","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","survey-multi-choice-vertical","11","135145","0.0-11.0","","3217","COVIDCONTROL_10","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Ni bajo ni alto riesgo""}",""
"","survey-multi-choice-vertical","12","146566","0.0-12.0","","11414","COVIDCONTROL_11","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Mejor""}",""
"","survey-multi-choice-vertical","13","154097","0.0-13.0","","7522","COVIDCONTROL_12","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" No lo sé / Prefiero no responder""}",""
"","html-slider-response-CSCN","14","170994","0.0-14.0","","16890.30000000092","COVIDCONTROL_13","{""Q0"":""¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?""}","{""Q0"":""4""}",""
