"view_history","rt","trialid","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","responses"
"[{""page_index"":0,""viewing_time"":6554}]","6556","Instructions","instructions","0","6558","0.0-0.0","",""
"","6806","PSS_01","survey-multi-choice-vertical","1","13379","0.0-1.0","{""Q0"":""1. En el último mes, ¿con qué frecuencia ha estado afectado/a por algo que ha ocurrido inesperadamente?""}","{""Q0"":"" Casi nunca""}"
"","6252","PSS_02","survey-multi-choice-vertical","2","19644","0.0-2.0","{""Q0"":""2. En el último mes, ¿con qué frecuencia se ha sentido incapaz de controlar las cosas importantes en su vida?""}","{""Q0"":"" Casi nunca""}"
"","5303","PSS_03","survey-multi-choice-vertical","3","24956","0.0-3.0","{""Q0"":""3. En el último mes, ¿con qué frecuencia se ha sentido nervioso/a o estresado/a?""}","{""Q0"":"" A menudo""}"
"","11979","PSS_04","survey-multi-choice-vertical","4","36946","0.0-4.0","{""Q0"":""4. En el último mes, ¿con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?""}","{""Q0"":"" De vez en cuando""}"
"","9030","PSS_05","survey-multi-choice-vertical","5","45985","0.0-5.0","{""Q0"":""5. En el último mes, ¿con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?""}","{""Q0"":"" Casi nunca""}"
"","8295","PSS_06","survey-multi-choice-vertical","6","54290","0.0-6.0","{""Q0"":""6. En el último mes, ¿con qué frecuencia ha estado seguro/a sobre su capacidad para manejar sus problemas personales?""}","{""Q0"":"" A menudo""}"
"","7101","PSS_07","survey-multi-choice-vertical","7","61401","0.0-7.0","{""Q0"":""7. En el último mes, ¿con qué frecuencia ha sentido que las cosas le van bien?""}","{""Q0"":"" A menudo""}"
"","11649","PSS_08","survey-multi-choice-vertical","8","73059","0.0-8.0","{""Q0"":""8. En el último mes, ¿con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?""}","{""Q0"":"" De vez en cuando""}"
"","10199","PSS_09","survey-multi-choice-vertical","9","83262","0.0-9.0","{""Q0"":""9. En el último mes, ¿con qué frecuencia ha podido controlar las dificultades de su vida?""}","{""Q0"":"" A menudo""}"
"","6851","PSS_10","survey-multi-choice-vertical","10","90116","0.0-10.0","{""Q0"":""10. En el último mes, ¿con qué frecuencia se ha sentido al control de todo?""}","{""Q0"":"" A menudo""}"
"","7199","PSS_11","survey-multi-choice-vertical","11","97320","0.0-11.0","{""Q0"":""11. En el último mes, ¿con qué frecuencia ha estado enfadado/a porque las cosas que le han ocurrido estaban fuera de su control?""}","{""Q0"":"" Casi nunca""}"
"","10581","PSS_12","survey-multi-choice-vertical","12","107910","0.0-12.0","{""Q0"":""12. En el último mes, ¿con qué frecuencia ha pensado sobre las cosas que le quedan por lograr?""}","{""Q0"":"" Muy a menudo""}"
"","9121","PSS_13","survey-multi-choice-vertical","13","117038","0.0-13.0","{""Q0"":""13. En el último mes, ¿con qué frecuencia ha podido controlar la forma de pasar el tiempo?""}","{""Q0"":"" De vez en cuando""}"
"","10983","PSS_14","survey-multi-choice-vertical","14","128023","0.0-14.0","{""Q0"":""14. En el último mes, ¿con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?""}","{""Q0"":"" Casi nunca""}"
