"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","trialid","stimulus","responses"
"true","fullscreen","0","1581","0.0-0.0","","","","",""
"","instructions","1","2971","0.0-1.0","[{""page_index"":0,""viewing_time"":1387}]","1388","Instructions","",""
"","survey-multi-choice-vertical","2","9533","0.0-2.0","","6556","EAR_01","{""Q0"":""Siento que soy una persona digna de aprecio, al menos en igual medida que los demás.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","3","11666","0.0-3.0","","2129","EAR_02","{""Q0"":""Creo que tengo un buen número de cualidades.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","4","14693","0.0-4.0","","3021","EAR_03","{""Q0"":""En general, me inclino a pensar que soy un/a fracasado/a.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","5","37669","0.0-5.0","","22971","EAR_04","{""Q0"":""Soy capaz de hacer las cosas tan bien como la mayoría de la gente.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","6","40298","0.0-6.0","","2624","EAR_05","{""Q0"":""Siento que no tengo muchos motivos para sentirme orgulloso/a de mi.""}","{""Q0"":"" En desacuerdo""}"
"","survey-multi-choice-vertical","7","42270","0.0-7.0","","1968","EAR_06","{""Q0"":""Tengo una actitud positiva hacia mí mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","8","44500","0.0-8.0","","2226","EAR_07","{""Q0"":""En general, estoy satisfecho conmigo mismo/a.""}","{""Q0"":"" Muy de acuerdo""}"
"","survey-multi-choice-vertical","9","47184","0.0-9.0","","2678","EAR_08","{""Q0"":""Desearía valorarme más a mi mismo/a.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","10","49272","0.0-10.0","","2083","EAR_09","{""Q0"":""A veces me siento verdaderamente inútil.""}","{""Q0"":"" De acuerdo""}"
"","survey-multi-choice-vertical","11","51891","0.0-11.0","","2616","EAR_10","{""Q0"":""A veces pienso que no soy bueno/a para nada.""}","{""Q0"":"" En desacuerdo""}"
