id,DEMOGR3_01_RAW,DEMOGR3_02_RAW,DEMOGR3_03_RAW,DEMOGR3_04_RAW,DEMOGR3_05_RAW,DEMOGR3_06_RAW,DEMOGR3_07_RAW,DEMOGR3_08_RAW,DEMOGR3_01_DIR,DEMOGR3_02_DIR,DEMOGR3_03_DIR,DEMOGR3_04_DIR,DEMOGR3_05_DIR,DEMOGR3_06_DIR,DEMOGR3_07_DIR,DEMOGR3_08_DIR,DEMOGR3_RAW_NA,DEMOGR3_DIR_NA
0057227z4v,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,19,0,1,1,5,0,0,0,0,0
01ek6pnb5d,44,Hombre,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,44,1,1,1,7,0,0,0,0,0
01u2u0ova7,19,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,19,1,1,1,5,0,0,0,0,0
029bvazwec,22,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,22,0,1,1,5,0,0,0,0,0
03o86ert7y,30,Mujer,Sí,Sí,Universitaria completa.,No,No,No,30,0,1,1,6,0,0,0,0,0
066366627,19,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,Sí,19,0,1,1,5,0,0,1,1,1
0797nohsn7,39,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,39,0,1,1,7,1,0,0,0,0
07nusxprzu,20,Hombre,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,20,1,1,1,5,0,0,0,0,0
083gwyuju4,50,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,50,0,1,1,7,1,0,0,0,0
097nsptf9p,45,Hombre,Sí,No,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,45,1,1,0,7,1,0,0,0,0
0azsjnjv8h,23,Mujer,Sí,Sí,Universitaria incompleta / Técnica completa,No,No,No,23,0,1,1,5,0,0,0,0,0
0e57w4jo5l,35,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,35,0,1,1,6,1,0,0,0,0
0f2kpao1rd,27,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,27,0,1,1,7,0,0,0,0,0
0g4bzzufl5,44,Mujer,No,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,44,0,0,1,7,0,0,0,0,0
0gp37ea8qk,33,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",No,No,No,33,0,1,1,7,0,0,0,0,0
0h5cls6t7u,18,Mujer,Sí,Sí,Media completa / Técnica incompleta.,Sí,No,No,18,0,1,1,4,1,0,0,0,0
0hmlz4cl4e,38,Mujer,Sí,Sí,"Postgrado (Master, Doctor o equivalente).",Sí,No,No,38,0,1,1,7,1,0,0,0,0
0lcktbc24w,39,Mujer,Sí,Sí,Universitaria completa.,Sí,No,No,39,0,1,1,6,1,0,0,0,0
